City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
10,Hithadhoo,MV,81.39,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
13,Port Alfred,ZA,71.26,broken clouds,-33.5906,26.891,The Halyards Hotel
15,Rikitea,PF,77.11,broken clouds,-23.1203,-134.9692,People ThankYou
16,Cape Town,ZA,72.09,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
24,Atuona,PF,78.75,few clouds,-9.8,-139.0333,Villa Enata
29,Poum,NC,77.85,light rain,-20.2333,164.0167,Gîte kajeon
30,Viedma,AR,75.67,broken clouds,-40.8135,-62.9967,Hotel Cristal
31,Arraial Do Cabo,BR,89.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
36,Richards Bay,ZA,74.91,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
38,Hilo,US,69.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
39,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
40,Mananara,MG,74.8,light rain,-16.1667,49.7667,Chez Roger
43,Castro,BR,86.18,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
45,Ponta Do Sol,PT,71.13,broken clouds,32.6667,-17.1,Hotel do Campo
50,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
52,Boyolangu,ID,76.6,overcast clouds,-8.1181,111.8935,Yos ega cv
55,Butaritari,KI,82.09,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
60,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
61,East London,ZA,74.34,light rain,-33.0153,27.9116,Tu Casa
63,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Sao Joao Da Barra,BR,87.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
69,Marsh Harbour,BS,77.23,clear sky,26.5412,-77.0636,Abaco Beach Resort
70,Ixtapa,MX,78.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
73,Pitanga,BR,79.38,overcast clouds,-24.7572,-51.7614,Hotel Santa Carmem
74,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Tomatlan,MX,85.6,few clouds,19.9333,-105.25,El Salvial
80,El Sauce,NI,82.6,clear sky,12.8869,-86.539,Hotel Blanco
83,Sao Filipe,CV,76.03,scattered clouds,14.8961,-24.4956,Hotel Xaguate
85,Nago,JP,69.87,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
87,Gigmoto,PH,78.69,overcast clouds,13.7796,124.39,Cj's Travellers Inn
