City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,51.12,50,72,26.22,broken clouds
1,Hermanus,ZA,-34.4187,19.2345,68.81,81,100,2.73,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,45.48,99,79,1.83,broken clouds
3,Mahebourg,MU,-20.4081,57.7,79.09,65,75,11.5,broken clouds
4,Vaini,TO,-21.2,-175.2,75.36,94,40,4.61,light rain
5,Upernavik,GL,72.7868,-56.1549,3.31,93,100,9.55,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,46.06,71,75,34.52,light intensity drizzle
7,Provideniya,RU,64.3833,-173.3,-10.17,88,54,5.48,broken clouds
8,Kenai,US,60.5544,-151.2583,-10.97,80,1,0.0,haze
9,Dunedin,NZ,-45.8742,170.5036,52.81,84,94,4.0,overcast clouds
10,Hithadhoo,MV,-0.6,73.0833,81.39,75,100,8.01,overcast clouds
11,Ajdabiya,LY,30.7554,20.2263,61.54,62,28,10.89,scattered clouds
12,Avarua,CK,-21.2078,-159.775,75.25,88,90,2.3,light rain
13,Port Alfred,ZA,-33.5906,26.891,71.26,85,74,15.82,broken clouds
14,Qaanaaq,GL,77.484,-69.3632,-1.17,67,94,2.15,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,77.11,74,54,5.44,broken clouds
16,Cape Town,ZA,-33.9258,18.4232,72.09,63,20,3.0,few clouds
17,Aykhal,RU,66.0,111.5,-46.59,100,100,5.99,overcast clouds
18,Klaksvik,FO,62.2266,-6.589,43.72,73,100,18.79,overcast clouds
19,Busselton,AU,-33.65,115.3333,51.08,70,63,11.52,broken clouds
20,Ponferrada,ES,42.5466,-6.5962,58.01,78,80,1.99,broken clouds
21,Mezhdurechenskiy,RU,59.6,65.9333,17.92,79,100,10.22,overcast clouds
22,Shiyan,CN,32.6475,110.7781,41.36,74,6,2.39,clear sky
23,Northwich,GB,53.2614,-2.5123,55.9,91,90,3.0,overcast clouds
24,Atuona,PF,-9.8,-139.0333,78.75,77,20,18.9,few clouds
25,Turukhansk,RU,65.8167,87.9833,-13.11,92,100,5.26,overcast clouds
26,Kibala,TD,9.1104,18.3463,94.95,24,0,0.0,clear sky
27,Zhigansk,RU,66.7697,123.3711,-24.63,100,99,2.42,overcast clouds
28,Yeniseysk,RU,58.4497,92.1703,1.81,98,99,4.05,overcast clouds
29,Poum,NC,-20.2333,164.0167,77.85,83,100,15.46,light rain
30,Viedma,AR,-40.8135,-62.9967,75.67,20,68,16.84,broken clouds
31,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,40,10.36,scattered clouds
32,Kodiak,US,57.79,-152.4072,9.91,56,1,21.85,clear sky
33,Korla,CN,41.7597,86.1469,20.34,72,36,1.81,scattered clouds
34,Tuatapere,NZ,-46.1333,167.6833,45.82,88,66,2.77,broken clouds
35,Severiano Melo,BR,-5.7772,-37.9578,98.2,24,27,7.72,scattered clouds
36,Richards Bay,ZA,-28.783,32.0377,74.91,92,98,3.62,light rain
37,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,16.11,light snow
38,Hilo,US,19.7297,-155.09,69.28,71,21,5.28,few clouds
39,Puerto Escondido,MX,15.85,-97.0667,85.03,70,1,0.0,clear sky
40,Mananara,MG,-16.1667,49.7667,74.8,89,78,5.68,light rain
41,Jamestown,US,42.097,-79.2353,38.79,69,20,15.01,few clouds
42,Bredasdorp,ZA,-34.5322,20.0403,68.29,69,100,8.05,overcast clouds
43,Castro,BR,-24.7911,-50.0119,86.18,28,89,6.33,overcast clouds
44,Katsuura,JP,35.1333,140.3,56.19,66,10,12.91,clear sky
