City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Muchkapskiy,RU,2021-12-11 17:09:01,51.8513,42.4717,27.09,67,9,7.29
1,Butaritari,KI,2021-12-11 17:09:01,3.0707,172.7902,82.99,76,63,15.59
2,Aklavik,CA,2021-12-11 17:09:02,68.2191,-135.0107,1.4,78,90,13.8
3,Atuona,PF,2021-12-11 17:09:02,-9.8,-139.0333,78.69,74,43,17.85
4,Necochea,AR,2021-12-11 17:09:02,-38.5473,-58.7368,76.62,58,65,8.63
5,Saint-Pierre,RE,2021-12-11 17:09:03,-21.3393,55.4781,78.44,83,74,3.44
6,Rikitea,PF,2021-12-11 17:04:20,-23.1203,-134.9692,75.34,74,100,14.52
7,Sorland,NO,2021-12-11 17:09:03,67.667,12.6934,38.8,68,100,16.82
8,Port Elizabeth,ZA,2021-12-11 17:09:03,-33.918,25.5701,68.09,78,52,5.66
9,Shakawe,BW,2021-12-11 17:09:04,-18.3667,21.85,79.84,51,91,2.89
10,Taywarah,AF,2021-12-11 17:09:04,33.35,64.4167,30.76,25,100,1.86
11,Bredasdorp,ZA,2021-12-11 17:09:04,-34.5322,20.0403,65.28,60,97,14.32
12,The Valley,AI,2021-12-11 17:09:05,18.217,-63.0578,85.82,69,40,16.11
13,Labuhan,ID,2021-12-11 17:09:05,-6.8844,112.2051,79.3,84,100,7.11
14,Muisne,EC,2021-12-11 17:09:05,0.6,-80.0333,77.11,90,100,13.67
15,Saint-Philippe,RE,2021-12-11 17:09:06,-21.3585,55.7679,78.35,77,51,10.47
16,Riyadh,SA,2021-12-11 17:04:51,24.6877,46.7219,62.64,32,45,6.33
17,Punta Arenas,CL,2021-12-11 17:09:06,-53.15,-70.9167,60.82,58,75,14.97
18,Santa Cruz Cabralia,BR,2021-12-11 17:09:06,-16.2781,-39.0247,80.83,83,75,12.66
19,Zhongshu,CN,2021-12-11 17:09:07,24.5167,103.7667,52.61,98,96,3.13
20,Dikson,RU,2021-12-11 17:09:07,73.5069,80.5464,-14.44,83,100,6.2
21,Hilo,US,2021-12-11 17:09:08,19.7297,-155.09,73.27,43,90,11.5
22,Torbay,CA,2021-12-11 17:09:08,47.6666,-52.7314,32.58,88,95,1.01
23,Busselton,AU,2021-12-11 17:09:08,-33.65,115.3333,57.04,83,49,12.19
24,Barrow,US,2021-12-11 17:09:08,71.2906,-156.7887,-0.38,78,75,10.36
25,Cap Malheureux,MU,2021-12-11 17:09:09,-19.9842,57.6142,79.47,72,100,11.99
26,Lisbon,PT,2021-12-11 17:09:10,38.7167,-9.1333,62.38,75,20,11.5
27,Avarua,CK,2021-12-11 17:09:10,-21.2078,-159.775,75.25,88,99,5.75
28,Hobart,AU,2021-12-11 17:09:11,-42.8794,147.3294,50.05,77,90,4.61
29,Leningradskiy,RU,2021-12-11 17:09:12,69.3833,178.4167,-24.25,87,40,10.54
30,Pascagoula,US,2021-12-11 17:09:12,30.3658,-88.5561,81.05,95,90,4.61
31,Ushuaia,AR,2021-12-11 17:06:32,-54.8,-68.3,62.26,48,20,9.22
32,Berlevag,NO,2021-12-11 17:09:13,70.8578,29.0864,28.47,85,49,15.59
33,Hithadhoo,MV,2021-12-11 17:09:13,-0.6,73.0833,80.44,80,63,11.56
34,Samarai,PG,2021-12-11 17:09:13,-10.6167,150.6667,81.1,80,97,11.45
35,Port Alfred,ZA,2021-12-11 17:09:13,-33.5906,26.891,70.72,86,48,6.11
36,Buraydah,SA,2021-12-11 17:08:35,26.326,43.975,59.36,35,68,8.81
37,Ostrovnoy,RU,2021-12-11 17:09:14,68.0531,39.5131,25.61,92,100,19.48
38,Lata,PT,2021-12-11 17:09:14,40.1629,-8.3327,61.03,90,13,3.67
39,Mar Del Plata,AR,2021-12-11 17:09:11,-38.0023,-57.5575,66.87,91,48,24.0
40,Sao Filipe,CV,2021-12-11 17:09:15,14.8961,-24.4956,75.72,67,85,6.44
41,Saldanha,ZA,2021-12-11 17:09:15,-33.0117,17.9442,64.42,75,51,7.16
42,Issia,CI,2021-12-11 17:09:16,6.4922,-6.5856,94.24,26,86,3.27
43,Kahului,US,2021-12-11 17:09:16,20.8947,-156.47,73.42,84,20,12.66
44,Bluff,NZ,2021-12-11 17:10:16,-46.6,168.3333,44.8,67,9,4.32
45,Nome,US,2021-12-11 17:10:17,64.5011,-165.4064,-5.73,71,75,13.8
46,Batagay,RU,2021-12-11 17:10:17,67.6333,134.6333,-21.6,99,100,1.16
47,Ilulissat,GL,2021-12-11 17:10:17,69.2167,-51.1,21.22,49,40,11.5
48,Chokurdakh,RU,2021-12-11 17:10:18,70.6333,147.9167,-48.71,100,67,2.35
49,Polohy,UA,2021-12-11 17:10:18,47.4844,36.2536,39.16,78,77,11.48
50,Hasaki,JP,2021-12-11 17:10:18,35.7333,140.8333,41.4,63,7,7.52
51,Tuktoyaktuk,CA,2021-12-11 17:10:18,69.4541,-133.0374,-9.92,97,100,9.55
52,Shelburne,CA,2021-12-11 17:10:19,44.0787,-80.2041,58.57,98,98,25.52
53,Bengkulu,ID,2021-12-11 17:10:19,-3.8004,102.2655,76.55,88,96,3.6
54,San Ramon,US,2021-12-11 17:10:19,37.7799,-121.978,50.49,74,1,0.0
55,Cockburn Town,TC,2021-12-11 17:10:20,21.4612,-71.1419,80.38,73,1,21.36
56,Agadez,NE,2021-12-11 17:10:20,19.75,10.25,65.03,10,100,5.14
